"Time","Integrator"
0,0.5
60,0.50570536368465213
120,0.51250630079729698
180,0.51929732610887458
240,0.52608703321712069
300,0.53287535705890399
360,0.53966229871411109
420,0.5464478592626274
480,0.55323203924439646
540,0.56001483973930366
600,0.56679626162475705
660,0.57357630571067098
720,0.58035497280695958
780,0.58713226338607305
840,0.59390817852789723
900,0.60068271944730423
960,0.60745588668423722
1020,0.61422768098111757
1080,0.62099810314785941
1140,0.62776715399437744
1200,0.63453483466805094
1260,0.64130114570882257
1320,0.64806608785911413
1380,0.65482966226630435
1440,0.66159186947033632
1500,0.66835271055109591
1560,0.67511218604852619
1620,0.68187029704251301
1680,0.68862704407299946
1740,0.6953824282198714
1800,0.7021364503605364
1860,0.69599670915003109
1920,0.68714628509824016
1980,0.67826610883752092
2040,0.66938321342387441
2100,0.66049787220344269
2160,0.65161008679605459
2220,0.6427198543670094
2280,0.63382717302650615
2340,0.62493204115471634
2400,0.61603445645688215
2460,0.60713441650326039
2520,0.59823191953903587
2580,0.58932696394437956
2640,0.58041954742453405
2700,0.57150966754975574
2760,0.56259732256522987
2820,0.55368251017619907
2880,0.54476522862784815
2940,0.53584547562541962
3000,0.52692324941409829
3060,0.51799854769912723
3120,0.50907136872569136
3180,0.50014171019903264
3240,0.4912095696894076
3300,0.48227494544200183
3360,0.47333783516205746
3420,0.46439823709475975
3480,0.45545614894535075
3540,0.44651156828408728
3600,0.43756449335615444
3660,0.44069382498134579
3720,0.44616150663663562
3780,0.45161351138450562
3840,0.45706471148232614
3900,0.46251501513978777
3960,0.46796442336928373
4020,0.47341293657577116
4080,0.47886055516420739
4140,0.48430727953954955
4200,0.48975311010675499
4260,0.49519804727078082
4320,0.50064209143658445
4380,0.50608524334658744
4440,0.51152750313577577
4500,0.516968871479078
4560,0.5224093485114798
4620,0.52784893490790963
4680,0.53328763114081823
4740,0.53872543761516256
4800,0.54416235439843541
4860,0.54959838216556578
4920,0.55503352138900341
4980,0.56046777281117011
5040,0.56590113656705165
5100,0.57133361299411256
5160,0.57676520249730967
5220,0.58219590581906477
5280,0.58762572309436367
5340,0.59305465499813537
5400,0.5984827016653651
5460,0.59354733077668542
5520,0.58645455508222377
5580,0.57934284493675547
5640,0.57222942924634912
5700,0.56511444718131176
5760,0.55799789955155787
5820,0.55087978500723001
5880,0.54376010260342822
5940,0.53663885153023783
6000,0.52951603030281502
6060,0.52239163797626031
6120,0.51526567374065912
6180,0.50813813678609665
6240,0.50100902562772964
6300,0.49387833932065817
6360,0.48674607705496753
6420,0.47961223734581448
6480,0.47247681924829882
6540,0.46533982195250606
6600,0.45820124397359302
6660,0.45106108436665948
6720,0.4439193423217907
6780,0.43677601702907243
6840,0.42963110700366153
6900,0.42248461130065751
6960,0.41533652911014585
7020,0.40818685894728335
7080,0.40103559986717008
7140,0.39388275038496234
7200,0.38672718512447146
7260,0.3795684752359727
